Date,Portfolio 1,Portfolio 2,Portfolio 3,Portfolio 4,Portfolio 5
1933-01,0.046426,0.051854,0.057092,0.007567,0.01622
1933-02,-0.128635,-0.148194,-0.192141,-0.15497,-0.159451
1933-03,0.140365,0.121146,0.073833,0.084218,0.050722
1933-04,0.630326,0.489124,0.507206,0.532588,0.412645
1933-05,1.090936,0.856659,0.503162,0.347439,0.210291
1933-06,0.454746,0.227977,0.150735,0.152116,0.140124
1933-07,-0.024854,-0.085272,-0.13916,-0.107644,-0.107748
1933-08,0.050992,0.082819,0.138051,0.170043,0.12013
1933-09,-0.198305,-0.154792,-0.153601,-0.138934,-0.107878
1933-10,-0.111675,-0.131499,-0.113283,-0.093776,-0.085981
1933-11,0.02806,0.047354,0.065481,0.0816,0.084526
1933-12,-0.005892,0.001803,0.056093,0.013489,0.010296
1934-01,0.571347,0.376664,0.283849,0.202891,0.135236
1934-02,0.065902,0.013453,0.011333,-0.021067,-0.035166
1934-03,0.012709,0.004287,0.006293,0.007639,0.003049
1934-04,0.042096,-0.006166,-0.001611,-0.019193,-0.0151
1934-05,-0.15724,-0.108638,-0.106542,-0.089656,-0.074497
1934-06,-0.033561,-0.022159,0.001609,0.021055,0.031063
1934-07,-0.232637,-0.237194,-0.184308,-0.157006,-0.119875
1934-08,0.14054,0.119575,0.097476,0.075611,0.048642
1934-09,-0.010209,-0.031558,-0.009961,-0.004405,-0.009892
1934-10,-0.032999,-0.01656,-0.033081,-0.006925,-0.018373
1934-11,0.164961,0.148873,0.124069,0.103652,0.075634
1934-12,-0.007597,0.029917,0.017928,0.013782,-0.000491
1935-01,0.013063,-0.048384,-0.040541,-0.044487,-0.038829
1935-02,-0.112154,-0.076099,-0.056128,-0.027005,-0.019861
1935-03,-0.10413,-0.100036,-0.078193,-0.049933,-0.03972
1935-04,0.114087,0.11348,0.115681,0.071081,0.089551
1935-05,0.010145,0.021195,0.027904,0.021097,0.034721
1935-06,-0.018369,0.028807,0.05076,0.060737,0.061399
1935-07,0.129326,0.147453,0.120717,0.067267,0.069178
1935-08,0.215101,0.096938,0.076578,0.018227,0.016302
