,J,3_mean,3_t-stat,6_mean,6_t-stat,9_mean,9_t-stat,12_mean,12_t-stat
0,3 Sell,0.011356,2.774712,0.012735,3.130242,0.013475,3.358155,0.011659,2.829823
1,3 Buy,0.011536,1.80556,0.011244,1.636099,0.01138,1.554041,0.013208,1.769248
2,3 Buy-sell,-0.00018,-0.047818,0.00149,0.306954,0.002094,0.377495,-0.001549,-0.273479
3,6 Sell,0.011645,2.771708,0.012326,3.010031,0.012064,2.958957,0.011192,2.693869
4,6 Buy,0.010519,1.694538,0.010949,1.609618,0.011034,1.560226,0.013431,1.863551
5,6 Buy-sell,0.001126,0.327332,0.001377,0.29408,0.00103,0.201531,-0.002239,-0.425681
6,9 Sell,0.011938,2.876929,0.011691,2.89213,0.011517,2.870593,0.010851,2.664168
7,9 Buy,0.010509,1.704267,0.01078,1.636399,0.011509,1.682161,0.013703,1.946382
8,9 Buy-sell,0.001429,0.436221,0.00091,0.215415,8e-06,0.001672,-0.002852,-0.580608
9,12 Sell,0.011393,2.736544,0.011116,2.760514,0.010766,2.714752,0.010376,2.581403
10,12 Buy,0.010803,1.804398,0.011511,1.80515,0.012423,1.867026,0.014481,2.112471
11,12 Buy-sell,0.00059,0.203751,-0.000395,-0.104279,-0.001658,-0.386715,-0.004105,-0.902282
